Date,Event Name,Time,start_date,end_date,start_time,end_time,all_day
23-Feb-21,Principals / Sales Keynote,10am to 3pm,2021-02-23,,10:00,15:00,false
4-Mar-21,Property Management,10am to 3pm,2021-03-04,,10:00,15:00,false
20-Apr-21,Digital,10am to 3pm,2021-04-20,,10:00,15:00,false
14-Jul-21,Principals / Leadership,10am to 3pm,2021-07-14,,10:00,15:00,false
3-Aug-20,Sales,10am to 3pm,2021-08-03,,10:00,15:00,false
12-Aug-20,Property Management,10am to 3pm,2021-08-12,,10:00,15:00,false
,,,,,,,
,,,,,,,
